,titol,descripcio,origen
0,Mapa dels barris (fins al 2021),Mapa amb les delimitacions dels barris de L'Hospitalet,hospitalet
1,Ofertes de treball,Tota la informació sobre les ofertes de treball vigents.,hospitalet
2,Agenda de la ciutat,Informació sobre els actes i activitats que tenen lloc a L'Hospitalet,hospitalet
3,Població per nacionalitat i lloc de naixement,Població a 31 de desembre per nacionalitat i lloc de naixement.,hospitalet
4,Característiques dels actes de l'agenda de la ciutat,"Es mostren algunes característiques dels actes i dels esdeveniments de l'agenda de la ciutat, com ara el tema, el tipus de públic, el tipus d'entrada, la durada, el preu, el nom de l'equipament on es desenvolupa l'acte i el barri on es realitza l'esdeveniment.",hospitalet
5,Cursos de formació,Guia de cursos del Servei d'Informació i Orientació Laboral,hospitalet
6,Població per edat i sexe,"Evolució de la població per districtes, barris, edat i sexe segons el padró municipal amb dades a 31 de desembre.",hospitalet
7,Nombre d'habitants i habitatges per Àrees bàsiques de Salut,Recompte d'habitatges i habitants de cada ABS des de juny de 2018. Dades mensuals,hospitalet
8,Característiques de les ofertes de treball,"Característiques de les ofertes de treball publicades pel Servei d'Intermediació i Inserció de l'Ajuntament de L'Hospitalet, com ara la data d'alta, la població, el tipus d'ocupació, el tipus de contracte, la jornada, els mesos d'experiència, la formació reglada, els idiomes i els permisos necessaris per ser candidat
 
oficial",hospitalet
9,"Població per territori, sexe i grup d'edat","Evolució del nombre de persones empadronades a la ciutat per districte, barri, secció, grup d'edat i sexe segons el padró municipal provisional a 31 de desembre.",hospitalet
10,Directori de les dependències municipals,Directori de les dependències municipals,hospitalet
11,"Mapa de les divisions territorials (districtes, barris i seccions censals) fins al 2021","Mapa de les divisions territorials per districtes, barris i seccions censals de L'Hospitalet",hospitalet
12,Execució del pressupost de despeses,"Execució del pressupost de despeses (dades mensuals).
Les dades d'execució fan referència a l'últim dia del mes.",hospitalet
13,Guia oficial de noms de carrers,"Guia oficial de nom dels carrers, carreteres i camins de la ciutat (Nomenclàtor).",hospitalet
14,Agenda del dia de l'alcaldessa,Agenda diària de l'alcaldessa,hospitalet
15,Agenda d'actes de Regidores i Regidors,Agenda institucional d'actes dels Regidors i Regidores,hospitalet
16,Indicadors de gestió de la ciutat de L'Hospitalet als Cercles de comparació intermunicipals de la Diputació de Barcelona (2014-2020),"Valors corresponents als indicadors de l'Ajuntament de L'Hospitalet en el projecte dels Cercles de comparació intermunicipals de la Diputació de Barcelona comparats amb la mitjana dels municipis de més de 75.000 habitants que participen en cada cercle.
Les dades relatives als anys 2014-2019 d'aquest fitxer invaliden les versions anteriors d'aquest conjunt de dades. La Diputació de Barcelona realitza una tasca de revisió permanent de les dades i és possible que algun valor del període 2014-2019 s'hagi modificat com a conseqüència del procés de depuració.",hospitalet
17,BiciBox,Relació de les ubicacions i ocupacions de BiciBox.,hospitalet
18,Calendari laboral de L'Hospitalet,Calendari de dies festius,hospitalet
19,"Població per territori, sexe i grup d'edat (dades mensuals)","Evolució del nombre de persones empadronades a la ciutat per districte, barri, secció, grup d'edat i sexe segons el padró municipal provisional a final de cada mes.",hospitalet
20,Mapa  dels districtes (fins al 2021),Mapa amb les delimitacions dels districtes de L'Hospitalet,hospitalet
21,Adreces postals,Relació de les adreces postals vàlides de la ciutat.,hospitalet
22,Població per nacionalitat i lloc de naixement (dades mensuals),Població a final de cada mes per nacionalitat i lloc de naixement.,hospitalet
23,Mapa amb la localització de les escoles bressol i llar d'infants,Mapa amb la localització de les escoles bressol i llars d'infants i la delimitació dels barris,hospitalet
24,Incidències de neteja finalitzades (2016-2021),Incidències de neteja finalitzades entre els anys 2016 i 2021.,hospitalet
25,Execució del pressupost d'ingressos,"Execució del pressupost d'ingressos (dades mensuals)
Les dades d'execució fan referència a l'últim dia del mes.",hospitalet
26,Qualitat de l'aire,Paràmetres mesurats de qualitat de l'aire.,hospitalet
27,Agenda institucional,Agenda d'actes dels Regidors.,hospitalet
28,Mapa de les seccions censals (fins al 2021),Mapa amb les delimitacions de les seccions censals de L'Hospitalet,hospitalet
29,Gràfic dels resultats a les eleccions municipals de 2015,Evolució dels resultats a les eleccions municipals amb la distribució del nombre de regidors,hospitalet
30,Divisió territorial,"Divisió territorial de la ciutat (districtes, barris, zones educatives, codis postals, ...).",hospitalet
31,Població per edat i sexe (dades mensuals),"Evolució de la població per districtes, barris, edat i sexe segons el padró municipal amb dades a final de cada mes.",hospitalet
32,Mapa de localització de les parades de taxi,Localització de les parades de taxi de la ciutat amb indicació de la seva capacitat.,hospitalet
33,Entitats registrades al Registre Municipal d'Entitats,Relació d'entitats registrades al Registre Municipal d'Entitats,hospitalet
34,Mapa amb la localització de les farmàcies,Mapa amb la localització de les farmàcies de L'Hospitalet,hospitalet
35,Evolució dels resultats a les eleccions municipals,Evolució dels resultats a les eleccions municipals amb la distribució del nombre de regidors,hospitalet
36,Escoles bressol,Escoles bressol del municipi,hospitalet
37,Execució del pressupost de despeses (exercicis anteriors),Execució del pressupost de despeses d'exercicis tancats.,hospitalet
38,Gràfic del pressupost inicial de l'any 2017. Qui fa la despesa ?,Pressupost inicial de l'any 2017 segons classificació orgànica,hospitalet
39,Farmàcies,Farmàcies existents a la ciutat,hospitalet
40,Calendari del contribuent,Calendari del contribuent. Període voluntari i dia de càrrec de rebuts domiciliats.,hospitalet
41,Gràfic del pressupost inicial de l'any 2017 per política de despesa,Pressupost inicial de l'any 2017 per política de despesa,hospitalet
42,Gràfic del pressupost inicial de l'any 2017. D'on venen els diners ?,Pressupost inicial de l'any 2017. D'on venen els diners ?,hospitalet
43,Parades de taxi,Localització de les parades de taxi de la ciutat amb indicació de la seva capacitat.,hospitalet
44,Incidències de neteja finalitzades de l'any actual,Incidències de neteja finalitzades de l'any en curs,hospitalet
45,Modificacions de crèdit de l'exercici 2017,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2017.,hospitalet
46,Contenidors per a la recollida selectiva de residus,Ubicació dels contenidors per a la recollida selectiva de residus.,hospitalet
47,Eleccions al Parlament de Catalunya desembre 2017 (resultats),Resultats definitius de les candidatures a les eleccions al Parlament de Catalunya del 21 de desembre del 2017.,hospitalet
48,Execució del pressupost d'ingressos (exercicis anteriors),Execució del pressupost d'ingressos d'exercicis tancats.,hospitalet
49,Dades obertes en temps real,Ítems de dades obertes que s'actualitzen amb alta periodicitat.,hospitalet
50,Eleccions Generals juny 2016 (Resultats),Resultats definitius de les Eleccions Generals de juny del 2016.,hospitalet
51,Enquesta sobre els barris de L'Hospitalet 2017,Totes les entrevistes amb les respostes de l'enquesta,hospitalet
52,Calendari del contribuent de l'any 2018,Calendari del contribuent. Període voluntari i dia de càrrec de rebuts domiciliats.,hospitalet
53,Indicadors estadístics de nivell i distribució de renda,"Indicadors estadístics de nivell i distribució de renda de les llars a nivell municipal, districte i secció cendal a partir de l'enllaç d'informació de l'INE amb dades tributàries de l'AEAT amb població del padró d'habitants a 31 de desembre i dades de territori.
Descripció del projecte: https://www.ine.es/experimental/atlas/exp_atlas_proyecto.pdf",hospitalet
54,"Parades de metro, ferrocarril i TRAM","Relació de parades de metro, FFCC, Renfe i TRAM de la ciutat",hospitalet
55,Eleccions municipals maig 2015 (resultats),Resultats definitius de les candidatures a les eleccions municipals de maig del 2015.,hospitalet
56,Patrimoni cultural,Patrimoni cultural de L'Hospitalet de Llobregat,hospitalet
57,Baròmetre municipal de l'any 2016,Baròmetre municipal de l'any 2016,hospitalet
58,Modificacions de crèdit de l'exercici 2018,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2018.,hospitalet
59,Covid Infogram 1 Total,-,hospitalet
60,Pressupost inicial d'ingressos,Pressupost inicial d'ingressos (dades per exercicis anuals).,hospitalet
61,Pressupost inicial de despeses,Pressupost inicial de despeses (dades per exercicis anuals).,hospitalet
62,Baròmetre municipal de l'any 2019,Baròmetre municipal de l'any 2019,hospitalet
63,Baròmetre municipal de l'any 2018,Baròmetre municipal de l'any 2018,hospitalet
64,Eleccions municipals maig 2011 (resultats),Resultats de les eleccions municipals de maig del 2011.,hospitalet
65,Eleccions al Parlament de Catalunya desembre 2017 (participació),Dades de participació de les eleccions al Parlament de Catalunya del 21 de desembre del 2017.,hospitalet
66,Eleccions municipals maig 2019 (resultats),Resultats de les eleccions municipals del 26 de maig del 2019.,hospitalet
67,Eleccions municipals maig 2015 (participació),Dades de participació de les eleccions municipals de maig del 2015.,hospitalet
68,Eleccions Generals juny 2016 (participació),Dades sobre participació a les eleccions generals de juny de 2016.,hospitalet
69,Eleccions municipals maig 2011 (participació),Dades de participació a les eleccions municipals de maig del 2011,hospitalet
70,Modificacions de crèdit de l'exercici 2019,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2019.,hospitalet
71,Guals,Guals actius de L'Hospitalet de Llobregat,hospitalet
72,Baròmetre municipal de l'any 2020,Dades del baròmetre municipal de l'any 2020. És un fitxer amb camps separats amb tabuladors. No es poden carregar les dades directament a Socrata ja que es supera el límit de 500 columnes.,hospitalet
73,Baròmetre municipal de l'any 2017,Matriu de dades del baròmetre de l'any 2017,hospitalet
74,Divisions territorials - Barris,Delimitació dels barris (a partir de l'any 2021),hospitalet
75,Eleccions Generals desembre 2015 (resultats),Resultats per meses a les eleccions generals de desembre de 2015.,hospitalet
76,Arbres,Inventari d'arbres de la ciutat.,hospitalet
77,Mapa dels barris,Mapa amb la delimitació dels barris (a partir de l'any 2021),hospitalet
78,Eleccions Generals abril 2019 (resultats),Resultats electorals de les eleccions generals d'abril de 2019.,hospitalet
79,Eleccions Generals novembre 2019 (participació),Dades de participació a les eleccions generals de novembre de 2019.,hospitalet
80,Eleccions al Parlament de Catalunya setembre 2015 (resultats),Resultats de les eleccions al Parlament de Catalunya de setembre de 2015.,hospitalet
81,Eleccions municipals maig 2019 (participació),Avanços de participació a les eleccions municipals del 26 de maig del 2019.,hospitalet
82,Eleccions al Parlament de Catalunya setembre 2015 (participació),Dades de participació per mesa a les eleccions al Parlament de Catalunya de setembre de 2015.,hospitalet
83,Eleccions Generals novembre 2019 (resultats),Resultats electorals de les eleccions generals de novembre de 2019.,hospitalet
84,Eleccions al Parlament Europeu maig 2019 (resultats),Resultats per mesa de les eleccions europees de maig de 2019.,hospitalet
85,Mapa dels districtes,Mapa de la delimitació dels districtes de L'Hospitalet de Llobregat,hospitalet
86,Eleccions al Parlament Europeu maig 2019 (participació),Dades de participació a les eleccions europees de maig de 2019.,hospitalet
87,Eleccions Generals desembre 2015 (participació),Dades de participació a les eleccions generals de desembre de 2015.,hospitalet
88,Divisions territorials - Seccions censals,Delimitació de les seccions censals de L'Hospitalet de Llobregat,hospitalet
89,Baròmetre municipal de l'any 2021,Baròmetre municipal de l'any 2021,hospitalet
90,Divisions territorials - Districtes,Delimitació dels districtes de L'Hospitalet de Llobregat,hospitalet
91,Eleccions Generals abril 2019 (participació),Dades de participació de les eleccions generals d'abril de 2019.,hospitalet
92,Mapa de les seccions censals,Mapa amb la delimitació de les seccions censals de L'Hospitalet de Llobregat,hospitalet
93,mapa21,-,hospitalet
94,Divisions territorials - Àrees Bàsiques de Salut,Àrees Bàsiques de Salut de L'Hospitalet de Llobregat.,hospitalet
95,Divisions territorials - Zones educatives,Zones educatives de la ciutat,hospitalet
96,Mapa de les zones educatives,Zones educatives de la ciutat,hospitalet
97,Divisions territorials - Codis postals,Delimitació dels codis postals a L'Hospitalet de Llobregat,hospitalet
98,Unitats administratives  de la ciutat de Barcelona,"
Detall de les unitats administratives  de la ciutat de Barcelona:  districtes, barris, àrea interès, àrees estadístiques bàsiques (AEB) i seccions censals
",barcelona
99,Accessibilitat a la via pública de la ciutat de Barcelona,"
Llista geolocalitzada dels paràmetres d'accessibilitat de la ciutat de Barcelona.
",barcelona
100,Descripció de la causalitat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona,"
Llistat de de la causalitat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot tenir una o més causes mediates les quals fan referència a factors externs del resultat en temps, lloc o grau (ex: Alcoholèmia i Excés de velocitat o inadequada).
",barcelona
101,Accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona,"
Llistat dels accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Incorpora el número de lesionats segons gravetat, el número de vehicles implicats i el punt d'impacte.
",barcelona
102,Persones involucrades en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona,"
Llistat de les persones que han estat involucrades en un accident gestionats per la Guàrdia Urbana a la ciutat de Barcelona i que han sofert algun tipus de lesió ( ferit lleu, ferit greu o mort). Inclou descripció de la persona (conductor, passatger o vianant), sexe, edat, vehicle associat a la persona i si la causa ha sigut del vianant.
",barcelona
103,Accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona segons tipologia,"
Llistat dels tipus d’accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot estar tipificat com més d’un tipus ( ex: caiguda (dues rodes) i abasti).
",barcelona
104,Vehicles implicats en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona,"
Llistat dels vehicles implicats en accidents gestionats per la Guàrdia Urbana a la ciutat de Barcelona. Un accident pot tenir associat més d’un vehicle. Inclou si la causa és del vianant, el tipus de vehicle, model, marca, color i tipus carnet i antiguitat de la persona que ho conduïa.
",barcelona
105,Accions formatives adreçades al personal municipal de la ciutat de Barcelona,"
Llista de les accions de formació transversals planificades, adreçades al personal municipal, formulades d’acord amb els objectius i projectes propis de cada àmbit municipal.
",barcelona
106,Nombre d'entrades i sortides d'animals al Centre d'Acollida d'Animals de Companyia de Barcelona,"
Nombre de gossos i gats gestionats pel Centre d'Acollida d'Animals de Companyia de Barcelona (CAACB). Les dades detallen els recollits de la via pública, els rescatats pel seu propietari i els adoptats.
",barcelona
107,Agenda d'actes de l'Anella Olímpica de la ciutat de Barcelona,"
Agenda dels actes que es celebren a les instal·lacions que formen part de l'Anella Olímpica: Palau Sant Jordi, Sant Jordi Club i Estadi Olímpic.
",barcelona
108,Equipaments de l'Administració autonòmica a la ciutat de Barcelona,"
Equipaments de l'Administració autonòmica a la ciutat de Barcelona
",barcelona
109,Equipaments de l'Administració estatal a la ciutat de Barcelona,"
Equipaments de l'Administració estatal a la ciutat de Barcelona
",barcelona
110,Equipaments de l'Administració municipal a la ciutat de Barcelona,"
Equipaments de l'Administració municipal a la ciutat de Barcelona
",barcelona
111,Tipus de tecnologia dels equipaments d'aforaments de mobilitat de la ciutat de Barcelona,"
Tipus de tecnologia usada en els equipaments per registrar aforaments de mobilitat a la ciutat de Barcelona.
",barcelona
112,Equipaments de mesura d'aforaments de mobilitat de la ciutat de Barcelona,"
Detall dels aparells que conformen l'equipament de mesura dels aforaments de mobilitat a la ciutat de Barcelona.
",barcelona
113,Detall dels aforaments de mobilitat de la ciutat de Barcelona,"
Detall de les dades comptabilitzades als aforaments de mobilitat de la ciutat de Barcelona.
",barcelona
114,Agenda d'activitats esportives de la ciutat de Barcelona,"
Agenda de competicions, actes populars i altres esdeveniments esportius.
",barcelona
115,Agenda cultural de la ciutat de Barcelona,"
Activitats culturals de la ciutat de Barcelona classificada per temàtiques.
",barcelona
116,Agenda d'actes i activitats de la ciutat de Barcelona,"
Agenda d'actes i activitats de la ciutat de Barcelona
",barcelona
117,Altres tipus d'allotjaments de la ciutat de Barcelona,"
Llistat de diferents tipus d'allotjaments de la ciutat de Barcelona entre els que s'inclou albergs, apartaments, col·legis majors, residències...
",barcelona
118,Hotels de la ciutat de Barcelona,"
Llistat dels hotels de la ciutat de Barcelona
",barcelona
119,Pensions de la ciutat de Barcelona,"
Llista de les pensions de la ciutat de Barcelona
",barcelona
120,Ampliació de voreres de la ciutat de Barcelona,"
Ampliació de voreres de la ciutat de Barcelona
",barcelona
121,Aparcaments a la ciutat de Barcelona,"
Aparcaments a la ciutat de Barcelona
",barcelona
122,Aparcaments amb servei per a bicis a la ciutat de Barcelona,"
Aparcaments amb servei per bicis a la ciutat de Barcelona.
",barcelona
123,Inventari d'aparcaments sota superfície de la xarxa B:SM a la ciutat de Barcelona,"
Inventari d'aparcaments  de rotació de la xarxa de B:SM (Barcelona de Serveis Municipals) a la ciutat de Barcelona.
",barcelona
124,Arbrat dels parcs de la ciutat de Barcelona,"
L'arbrat de parcs de la ciutat de Barcelona està constituït per els arbres situats dins dels espais verds. Aporta beneficis a la ciutat i la ciutadania com ara la protecció contra el soroll, l'absorció de CO2, l'ombra i també té una funció ornamental.   
Aquest dataset és complementari del d'Arbrat viari de la ciutat de Barcelona i del d'Arbrat de zona de la ciutat de Barcelona.
",barcelona
125,Arbrat viari de la ciutat de Barcelona,"
L'arbrat viari de la ciutat de Barcelona està constituit per els arbres situats als carrers i que es troben generalment en un escocell. Aporta beneficis a la ciutat i la ciutadania com ara la protecció contra el soroll, l'absorció de CO2, l'ombra i també té una funció ornamental.
Aquest dataset és complementari de l'Arbrat de zona de la ciutat de Barcelona i de l'Arbrat dels parcs de la ciutat de Barcelona.
",barcelona
126,Arbrat de zona de la ciutat de Barcelona,"
L'arbrat  de zona de la ciutat de Barcelona és el que se situa a les places, parterres, glorietes o petits espais enjardinats. Aporta beneficis a la ciutat i la ciutadania com ara la protecció contra el soroll, l'absorció de CO2, l'ombra i també té una funció ornamental.
Aquest dataset és complementari del d'Arbrat viari de la ciutat de Barcelona i de l' Arbrat de parcs de la ciutat de Barcelona.
",barcelona
127,Arbres d'interès local de la ciutat de Barcelona,"
Arbres catalogats de la ciutat de Barcelona.
",barcelona
128,Àrees d'esbarjo de gossos de la ciutat de Barcelona,"
Àrees d'esbarjo de gossos de la ciutat de Barcelona
",barcelona
129,Autoritzacions de terrasses excepcionals (DECRET 21/5) a l’espai d’ús públic de la ciutat de Barcelona,"
Autoritzacions de les terrasses excepcionals (DECRET 21/5) a l'espai d'ús públic a la ciutat de Barcelona. Es tracta de negocis de restauració i comerç alimentari que per tipologia concreta és permesa l'autorització.
",barcelona
130,Autenticacions als punts de recàrrega del vehicle elèctric de la ciutat de Barcelona,"
Autenticacions als punts de recàrrega del vehicle elèctric de la ciutat de Barcelona
",barcelona
131,Bancs del temps a la ciutat de Barcelona ,"
Bancs del temps a la ciutat de Barcelona
",barcelona
132,Projectes subvencionats en la convocatòria “Impulsem el que fas” de l'agència Barcelona Activa de l'Ajuntament de Barcelona,"
Projectes subvencionats en la convocatòria ""Impulsem el que fas"", iniciativa que dóna suport als projectes territorials que fomenten l'ocupació, l'emprenedoria i l'empresa, les economies comunitàries i la innovació social i digital. 
De caràcter anual, és impulsada per la Direcció Operativa de Desenvolupament de Proximitat de Barcelona Activa, l'agència de desenvolupament local de l'Ajuntament de Barcelona.
",barcelona
133,Benzineres a la ciutat de Barcelona,"
Benzineres a la ciutat de Barcelona
",barcelona
134,Serveis relacionats amb bicicletes a la ciutat de Barcelona,"
Empreses de lloguer i altres  serveis relacionats amb bicicletes a la ciutat de Barcelona . No  inclou els aparcaments.
",barcelona
135,Estacions de Bicing de la ciutat de Barcelona (Mecàniques i elèctriques),"
Estacions de Bicing , mecàniques i elèctriques, de la ciutat de Barcelona.
",barcelona
136,Cost de les campanyes de publicitat encarregades per l'Ajuntament de Barcelona i les seves entitats municipals.,"
Informació bàsica sobre els costos de les diferents campanyes de publicitat encarregades per l’Ajuntament i les seves entitats municipals.
",barcelona
137,Mapa de capacitat acústica del Mapa Estratègic de Soroll de la ciutat de Barcelona,"
El mapa de capacitat acústica classifica la ciutat en zones de diferent sensibilitat acústica, determinant els límits màxims de soroll permesos normativament. La descripcio de cada zonificació i els seus valors limit es poden consultar a l'Ordenança de Medi Ambient de Barcelona.
Un Mapa Estratègic de Soroll (MES) és un conjunt de mapes que serveixen per avaluar globalment l’exposició de la població al soroll produït per diferents fonts de soroll en una zona determinada, i també són la base per a l’elaboració de plans d’acció. S’elaboren cada 5 anys i s’utilitzen com a eina de gestió per a la millora i recuperació de la qualitat acústica on sigui necessari i per a protegir la bona qualitat acústica en entorns tranquils.
Aquesta informació es pot consultar gràficament als  Mapes de dades ambientals. Es poden consultar també els altres datasets disponibles del Mapa Estratègic de Soroll.
Per a més informació sobre el Mapa Estratègic de Soroll, consulta les   FAQ dels Mapes de dades ambientals.
",barcelona
138,Dades dels alts càrrecs i personal eventual del Govern Municipal de la ciutat de Barcelona,"
Dades dels alts càrrecs i personal eventual del Govern Municipal de la ciutat de Barcelona
",barcelona
139,Carrerer de la ciutat de Barcelona,"
Noms oficials dels carrers i vies de la ciutat de Barcelona amb la codificació INE i la municipal.
",barcelona
140,Carrers pacificats de la ciutat de Barcelona,"
Els carrers pacificats de la ciutat de Barcelona fan referència als anomenats ""eixos verds de l'Eixample"", qualificatiu que es va establir arrel de les actuacions en relació a la COVID-19.
",barcelona
141,Carrils Bici de la ciutat de Barcelona,"
Xarxa de carrils Bici de la ciutat de Barcelona.
",barcelona
142,Carrils Bici en construcció a la ciutat de Barcelona,"
Xarxa de carrils Bici en construcció (licitats i/o en obres) a la ciutat de Barcelona. La informació publicada no especifica la direccionalitat dels carrils.
",barcelona
143,Carrils Bici d'altres municipis de l'Àrea Metropolitana de Barcelona,"
Xarxa de carrils Bici existents en altres municipis de l'Àrea Metropolitana de Barcelona. La informació publicada no especifica la direccionalitat dels carrils.
",barcelona
144,Carta arqueològica de la ciutat de Barcelona,"
L'objectiu de la carta arqueològica de la ciutat de Barcelona és generar un conjunt d'informació unificada del patrimoni arqueològic de Barcelona, orientat vers l'anàlisi, diagnòstic i avaluació dels dipòsits estratigràfics del subsòl i del patrimoni construït, en estreta relació amb la gestió urbanística de l'Ajuntament de Barcelona. El marc cronològic de les restes que estan documentades a la carta, és des de la prehistòria fins la guerra civil (1936-39). Les coordenades s'expressen en el sistema geogràfic (longitud i latitud).
",barcelona
145,Catàleg de bases d'ajuts i subvencions al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Aportacions dineràries de l'Ajuntament de Barcelona, puntuals o periòdiques, dirigides a ciutadans, associacions, empreses locals i altres entitats públiques per a aconseguir una finalitat determinada d'interès públic. Es recullen les bases de les convocatòries.
",barcelona
146,Catàleg de bases per a l'ús de l'espai públic i dels béns municipals al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Pautes (dictades per l'administració) d'obligat compliment per als ciutadans per a un tema determinat. Normalment es refereixen als requisits que cal complir per a dur a terme determinades activitats a la via pública (estàtues humanes, músics, pintors, etc.) o per fer ús dels béns municipals.
",barcelona
147,Catàleg del Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Conjunt de metadades i enllaç als documents del repositori de documents públics de l'Ajuntament de Barcelona (BCNROC).
",barcelona
148,Catàleg de cartes de serveis i polítiques de qualitat al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Documents en què una organització fa públics els serveis que ofereix i el seu nivell de qualitat, els compromisos que adquireix en la relació amb els clients i els mecanismes que tenen aquests per fer arribar els seus suggeriments o queixes.
",barcelona
149,Catàleg de productes de cartografia de l'Ajuntament de Barcelona  ,"
Catàleg de productes de cartografia de l'Ajuntament de Barcelona ofert al web de CartoBCN .
",barcelona
150,Catàleg de circulars al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Ordres emeses pels òrgans superiors destinades exclusivament a organitzar el funcionament dels òrgans que en depenen o a establir pautes per a la seva actuació material.
",barcelona
151,Catàleg de comptes al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Registres regulars de transaccions pecuniàries, de deutes i crèdits o d’altres béns i serveis subjectes a càlcul.
",barcelona
152,Catàleg de documents de costos al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Documents sobre comptabilitat de costos de l'Ajuntament de Barcelona i dels seus serveis municipals
",barcelona
153,Catàleg de declaracions institucionals al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Manifestacions de fets o d'idees que voluntàriament realitza l'Ajuntament de Barcelona, especialment als mitjans de comunicació sobre algun tema d'interès municipal
",barcelona
154,Catàleg de decrets d'Alcaldia al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC)  ,"
Disposicions de caràcter general dictades per l'alcalde o alcaldessa en l'àmbit de les seves competències pròpies, tant de naturalesa organitzativa com d'ordenació social, en aquest darrer cas, en execució dels reglaments i les ordenances aprovats pel Consell Municipal. [Carta Municipal, art. 26.2 d]. També es recullen resolucions dictades en nom de l’alcalde o alcaldessa i altres anuncis d’interès públic.
",barcelona
155,Catàleg de dictàmens al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Judici o opinió emès per un òrgan de l’Ajuntament de Barcelona sobre un tema de la seva competència, o bé per un facultatiu sobre un assumpte de la seva especialitat.
",barcelona
156,Catàleg de directrius al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Línies o regles que serveixen de guiatge en la conducta o en l’actuació d’algú. En l’àmbit administratiu, les directrius sovint constitueixen meres recomanacions dirigides als òrgans inferiors, les quals per tant són de seguiment voluntari.
",barcelona
157,Catàleg de documents dels Alcaldes i Alcaldesses al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Documents dels alcaldes i alcaldesses de l'Ajuntament de Barcelona, que comprèn Articles, Bans i Discursos
",barcelona
158,Catàleg de documents tècnics al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Documents de suport (manuals, guions d'elaboració de projectes, guions de criteris arquitectònics, fitxes tècniques, etc.) per dur a terme un projecte tècnic.
Defineixen les característiques exigides d'un producte o servei, com ara els nivells de qualitat o el rendiment, la seguretat, les dimensions.
",barcelona
159,Catàleg de dossiers i notes de premsa al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Documents amb informació escrita i/o gràfica que es distribueixen als diferents mitjans de comunicació amb motiu de la celebració d'un esdeveniment o d'una conferència de premsa a fi de facilitar-los-en la cobertura i l'elaboració de la informació periodística.
",barcelona
160,Catàleg d'enquestes al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Eines d'investigació, generalment quantitatives, per a obtenir l'opinió i/o altra informació de la totalitat d'una població sotmesa a estudi, o d'una mostra, per mitjà d'un qüestionari
",barcelona
161,Catàleg d'estatuts al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Conjunt de disposicions que tenen força de llei per a l'organització i el funcionament intern d'una empresa, associació, institució, etc., elaborades pels socis fundadors o per una comissió gestora. Es recullen els estatuts de les entitats o institucions  integrants, dependents o adscrites a l’Ajuntament de
Barcelona.
",barcelona
162,Catàleg de fotografies d'art públic de Barcelona al Repositori Obert de Coneixement de l'Ajuntament de Barcelona  (BCNROC),"
Fotografies de les escultures, monuments i altres peces artístiques situades o visibles des de l'espai públic que estan incloses en el Catàleg d'art públic de l'Ajuntament de Barcelona
",barcelona
163,Catàleg de fotografies de Barcelona en general al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Fotografies procedents generalment del sector d’ Urbanisme, corresponents a exposicions, celebracions i de matèries genèriques de la ciutat de Barcelona
",barcelona
164,Catàleg de fotografies de cementiris de Barcelona al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Fotografies de les escultures artístiques, de les carrosses mortuòries i dels recintes funeraris de la ciutat de Barcelona procedents de l’empresa municipal Cementiris de Barcelona S.A.
",barcelona
165,Catàleg de fotografies d'edificis al Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC),"
Fotografies d’edificis, habitatges, equipaments i botigues emblemàtiques que formen part del Catàleg del Patrimoni Arquitectònic de l'Ajuntament de Barcelona.
",barcelona
